LanguageId;CountryId;Name;Capital;Population;SquareArea;DensityPerKm;Flag
2;350;Belgija;Bruselj;10683009;30518;350.10;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000001B4944415478DA6360808334383086038651E951E951E9516972A4014BAAD729097572230000000049454E44AE426082
2;362;Belize;Belmopan;331883;22966;14.45;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000D04944415478DAB593210EC3300C4513302960C01F4C2A484F31ED1E2D88B4E3C460528ED5F292B292DC65EE463229CEC0BA4F9FBE7E6CFF986B53E637BC34752806BC8E677400540C3260EB15FCF282A160A15D629476532623A5357DA41798985CDA0288AB18B637D8522E873365F4E5CE1BE7D1D5B04487D0AF39E741C1A21332A88A9D503B8E329DEAA6B0A2FE347193F5B741712FFB56264CAC0D96627C841893AD629254B7EFB4BEB5B9C344385B8672D0B762FD62CB4CCD7B4B1F48A8D7BB06DBE8DA97A61EFE4BFEFABFDBF80957566841515A55420000000049454E44AE426082
2;369;Benin;Porto Novo;8278140;112622;73.50;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000001D4944415478DA63E88083342C8061547A541AABB43116302A3D2A8D040081F596787501B3240000000049454E44AE426082
2;382;Bermuda;Hamilton;64566;53;NULL;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000FC4944415478DACDD2BD6AC3400C00609B23731047A7E6212C44C14B863E40C640202F9390C5F4510C81CE713B78C894DB42A79047C8230422DDC9813A513A944235D867BEFBB14ECA0846210420E467F048DF236BA32706843EF30A50E699E186A30BC77D6E599CB9F572CA1D6660F628FFD8674841A8EF1ED3C3F825FF70F61DE6A1E4EA3531F9E0BC81346FA1FCCAACE9D6C4950BD771CB9AEE5CE629BB4239EDA9154B0545EFC8511E396A57EFB882F079F73E6F5A6FE48D4FD35DD3BC9A0CA7EC730B26D3E0B83FE72667D3E3648826BFD41F87BAB078BC5CD79BAFA5C565E5367559AD2C5E546F33579AF5AE62D8EDD0A9D52DAA7FDC8AFF972FBFFD034E04141A890000000049454E44AE426082
2;385;Butan;NULL;684084;38816;17.62;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000F24944415478DA7DD3616E86300806E097A4FB0F49779F36E10034A947DF4D76805157BF44A525FE501F41C08863171D5B556C75CBBAE19FA111E3EBCA8D9848DC5B0FB9D11987E538DB583C5F9823B6C30012E2A4713600462A79C122DF8D1955564C452B4B9C6D0662AD90F4663B5B236F8E056F6EC24773117FE03DB78D793D3917D6603067F67D50AA13EFEC4D83FCF8E08D0DDC95FCCD1AF21CA62CD89047BBF09138E051D7A9F82793141517A6F39ED0EF9D6D6C93D35C35243FB3E1DBF894E467712352C2D551B9B766CC2301D0475C3CCEABE414F27F275552C87DBE515254BC5F1721775D07E6CFB464DD72DFF21FBEE017E226B549080000000049454E44AE426082
2;406;Bolivija;Sucre;10603860;1098581;9.65;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A22570000001F4944415478DA6330C60B1846A569209D86178C4AD342BA032F1895A681340053249678E661A1D20000000049454E44AE426082
2;416;Bosna in Hercegovina;Sarajevo;3888977;51176;75.99;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000A84944415478DA7DD3390E85400C0350AE903AE7E2A029A87C396603659FEA4B4F1E5BF0B9308E1003CF6D0ED6B91663304A1E877CDCF0BABE4F373CDAD9DE6ED380BBDD31918D3B16D71ED9C47DB71B17D88E0B6CC705B6E3220BD4838FDD10D51E59667B9756AF356152E312E6B9EE29598F4B99FEF69CB9652639B7A73CFF563B9EB3CCF626FDB597BCDB0BC6793415A3E733AE4CEF7125F3FA9A4BDE5F73CDB4DE7B93E6EFD70B83028CA50BA95AD00000000049454E44AE426082
2;420;Bocvana;Gaborone;1948409;581730;3.35;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B70000000774494D4507D70C160835220A2FB19F000000097048597300001EC100001EC101C36954530000000467414D410000B18F0BFC610500000009504C5445007FFFFFFFFF00000094804A7D0000001E4944415478DA63601805830D08E20584A495F082C12C4DC063A36088010040BF1DE3C94148E40000000049454E44AE426082
2;444;Brazilija;Brasília;194747347;8544418;22.79;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000B34944415478DAB5D3311284200C05D0D06C2DCD369ECE26C38CF7603CCED2D870B945E3900459D2B8699F7F8221C0362C7894C39011C380B1D46F8ED83ADC5439685D7754ED4135CEA576E920753D38CB3CC8439F7AC4B1E558C3671C35470E531C25D32F290E825170222607D605265FEA4A9343555CDCE49D2B1FBC787A224D07FF540EDDDE737E37BDF5C9FDEDE4C67F5B53E399CFA93773BEB1D4BD31EBBEAD6D3176CDDA546BCFAD5762BDB1FFBEEFA6BEC0E12C0645C2D5E60000000049454E44AE426082
2;472;Britanski Deviški otoki;Road Town;23757;151;157.30;0x89504E470D0A1A0A0000000D494844520000003C000000240403000000275744B700000030504C5445000000FFFFFF7F0000FF0000FF7F00FFBF00FFFF0000FF0000BF00007F007FBFFF0000FF00007F803F00808080C0C0C0B75A2257000000E74944415478DAD5D2310E83300C0040BE60A14A0CFD048A84D48F54193B21061ED1A5C895F85436063FAAC67628250D95AA2EF510868B93D8A6707024227035AF54CABA8A22882B430D5BE60C30E69D94B0F8CC7A4EC2B3338732556106E6B24E950AD070B57EB7EC5EE3078C1AB9BB870FDC31B69D15065C38D70D2E56C678B66C51EDDAE277C4216687794CD2738803E3BBC1B792AD393631F3E6C97AA2CD1B4A7BDA2DB2DE671CC09EE6C1C7A7A581273C544B61295F11AA7C3617063BD9837036BBD967EE39F398E3B9E91E29CB34E1483BBCFE53B7D14A5CDAFE3D4FB283A8FFEAF0FFE007E805AFBF86FD9D120000000049454E44AE426082
